P_sat1,P_sat2,P_sat3,P_sat4,Phi_sat1,Phi_sat2,Phi_sat3,Phi_sat4
4757.599254025263,10979.68812629231,10710.47939211338,6838.178683026364,4825.994015967724,10927.298450000046,10823.143562826075,7067.8761976522255
4854.423149986107,10815.818944103918,10786.512980001018,7088.998352093438,4821.404271551118,10923.637113251209,10815.280934576836,7069.466468419095
4551.3541678937545,10754.937832309732,10831.264999378032,6873.641897252243,4804.358460245002,10922.999774405787,10834.27092410209,7073.171632319172
4595.726694133369,10804.752934206068,10697.40677832438,6893.742630493803,4836.496241683409,10947.293425347229,10830.163624926676,7061.725439033496
4724.357219295325,10769.268700359524,10664.134611962572,7079.925564480217,4827.6250098577975,10916.48098612678,10836.092375047832,7071.794512472905
4877.512843079068,10648.302173677377,10837.928296830401,7029.967906356581,4861.494268282545,10910.2699317608,10819.449250340254,7102.531022769993
4668.283746277605,10675.141538497872,10737.568841775324,6929.641243508414,4846.013876872418,10927.202705875114,10825.714298240602,7062.788909915604
4944.399996099184,10627.937940912048,10771.914146438186,6967.325686777497,4840.897010688887,10919.878220284463,10820.79621714103,7084.869831722878
4553.29434463177,10762.330009310832,10678.647972826428,7211.214308139424,4868.559376056595,10924.037925462018,10813.297208366363,7097.630200361143
4682.630731130956,10890.449171886085,10508.75817325735,6802.765211927226,4834.337622894086,10917.253943829994,10831.071268092197,7068.810760036216
4868.314102258893,10614.737833506071,10888.362892544064,7128.62521303427,4846.669551120859,10925.103358348211,10823.984027941988,7066.889702561931
4842.1165409054365,10840.409219249786,10770.548500969553,7083.862046750222,4840.485458480535,10954.949989423083,10824.255114046244,7072.428145369134
4837.01972884942,10877.777273966636,10855.410626254621,6963.47887501235,4845.763498748261,10934.399441631936,10823.771019160658,7057.454589648062
4609.4618076475845,10704.026968618053,10830.567907228948,7019.428218160457,4838.681177780078,10924.662734530177,10832.623916214361,7061.898442074231
4864.795651729706,10695.601823296987,10772.677405911743,6904.373145847781,4843.725684532288,10906.078673062555,10817.983573262021,7060.095554065557
4513.526813101274,10774.329171280018,10955.21957062236,7037.753257959652,4829.773447663225,10936.45002427724,10818.144314606594,7068.171453612903
4882.269480542094,10866.79912623866,10941.137785320943,7084.577497825979,4847.001216135209,10924.619325591197,10811.744153150079,7067.0177365720965
4712.141532795329,10824.447888942714,11011.656189148951,6933.211691552246,4844.1453459904715,10922.991295210024,10812.917274811054,7075.767736456162
4602.871886056481,10697.760414140084,10640.375270157232,6967.075186770751,4839.02626679849,10917.414905990197,10844.131625303,7069.84830354156
4666.871854507193,10640.555317486587,10620.665578148037,6963.8486651009,4823.824557942029,10915.378120342648,10810.749020112324,7086.439741529618
4556.042457899047,10728.251372300623,10605.382287830165,7159.106915857589,4823.594696201218,10920.968776864785,10793.398464721597,7073.688055781319
4837.119843570469,11047.777393947059,10693.150852387897,7126.930744384727,4832.846740437788,10925.567457061106,10837.717535806794,7069.115247113391
4749.436081217587,10839.068377641195,10823.584578929034,7021.43391726048,4803.108618060009,10926.63681125449,10832.867061284647,7090.517687195663
4657.011158281319,10693.169635875782,10810.50600070462,7024.5600140737615,4812.737029778433,10924.56073753391,10809.985230407729,7079.9116369458425
4631.245908633866,10712.764757669933,10710.139313325057,6878.192343887264,4831.968208036765,10911.217015691987,10824.48785154219,7073.903738800389
4839.984387346198,10872.535015559248,10727.242658406321,6924.154370585363,4796.557843056661,10924.846470957487,10836.709460457478,7061.782218975687
4767.37049550451,10726.085384642529,10892.147113253397,6986.294583220887,4838.272075822168,10914.547885011076,10815.505535858745,7081.255464202895
4764.720930254884,10705.609825251913,10918.634580889813,7050.652819659424,4829.620874862824,10935.012243101524,10824.588804495157,7064.159057097661
4686.137383929878,10595.51358087051,10917.17667327467,6791.52995456066,4841.791472524506,10932.47328153607,10852.89289564349,7076.223636958598
4604.990056119297,10691.068094746037,10807.71148777303,7089.162121620755,4832.260295584873,10935.609939436503,10830.71808882313,7090.223722146229
4839.276308871712,10794.154431047675,10840.403307064742,6992.205226959911,4841.3032533257065,10932.91238711054,10827.66427542736,7090.075738190267
4670.291332961822,10820.686401165414,10816.703990218915,6984.833861162676,4804.952492677814,10924.371653140288,10838.134021757132,7067.505594502746
4712.302340689916,10822.1192331382,10729.618737990866,6946.634222737025,4828.559563265823,10945.840748927656,10848.47941861535,7104.954248060008
4663.5630374447555,10777.913414868022,10734.02231749964,6985.393488916994,4838.270938518428,10926.260432738349,10830.11519111579,7081.187049812877
4737.967533199424,10779.637102058621,10743.683621371985,7149.229524647843,4829.976309775165,10942.514380479954,10837.859040121313,7081.432578370879
4629.1284733390285,10853.310037495505,10778.65414088532,7037.255268855682,4825.542919204089,10949.523896997698,10832.014620932698,7089.592071624591
4686.224109842565,10769.58636238588,10887.91244909576,7205.1767545452285,4819.064760414904,10927.344389311107,10823.948378607252,7092.950723281921
4670.781891569506,10726.606792438806,10797.757858004594,6962.66876788151,4798.392056223503,10933.806587842306,10830.658757747207,7086.689610846607
4636.319149034835,10757.617618830262,10764.691751188628,7007.582034924034,4829.111104208146,10926.91894035428,10847.674937422042,7100.819274186692
4821.623947963748,10840.230532668838,10836.081244324978,6954.573293377974,4821.154471343575,10940.533158449382,10837.333147127949,7085.563956030452
4809.3109527753895,10802.326761505727,10767.969106625711,7153.058749846005,4821.038009308682,10937.688417268955,10818.083751938097,7087.507985441376
4742.160666576593,10683.861440441811,10847.380086535926,6957.871024237432,4831.456395354406,10926.580247471698,10853.939594895228,7093.442930343833
4708.268323640224,10600.98626709269,10700.32383405051,6959.406151397388,4828.3104009245935,10938.339318364764,10862.215094824764,7097.078717029058
4647.206744128262,10778.004386686416,10773.392717206663,7181.832045712003,4827.6969168558535,10946.861911449943,10853.561382720947,7095.019644615014
4617.920585147081,10766.904608122535,10685.958180553063,6965.676124126803,4829.573690762813,10951.18309816528,10857.811627451345,7092.91590525178
4566.927853614831,10630.128667341642,10762.618262042284,7197.2097948220635,4818.1137707995285,10945.678479818624,10826.649600503528,7102.445037705315
4625.216397919336,10685.34017864989,10722.957202389336,7130.814219766776,4824.138870037106,10939.405499694363,10853.61642954221,7064.809772785776
4574.003758372916,10706.234978508746,10794.190961106024,7025.744888760975,4822.808167994394,10940.441863298573,10847.4151738814,7076.5578780622
4675.772750953529,10784.136767564827,10951.176320937355,6989.4722200600345,4824.102049621965,10951.917423563336,10850.553991611258,7103.2535086054195
4610.460885478033,10560.821298390312,10718.168013349756,6888.760672764513,4814.37904941009,10952.440275195153,10850.484975336221,7085.25849218331
4629.247240101309,10918.65056144384,10731.163045637104,6981.737794935191,4794.926655966277,10942.373711605669,10854.8991874807,7091.215497816157
4709.44477185384,10811.169900912379,10811.541779212583,7049.914482274538,4814.511640405854,10921.364224246796,10862.160830493527,7072.8748860005035
4517.505820662314,10751.807897980749,10926.49289010841,7060.705213466604,4813.50752740601,10931.652705045226,10848.989842783061,7095.094290661926
4713.862872545767,10930.119709252178,10782.18631358357,6949.0540812934605,4812.259217772736,10936.938283734924,10837.582413582199,7092.850645894757
4396.365994620985,10875.250066739769,10838.150933069504,6804.081513230844,4817.455724538089,10936.688202961828,10848.175999533625,7084.877390839544
4648.695283998493,10775.063049647606,10751.43491320545,7164.659258753482,4834.825052182367,10938.440902867882,10824.668489917109,7092.193873709744
4609.2977662912435,10873.345850405743,10880.253517700294,7017.283055498443,4820.275192859056,10931.705956219848,10845.178958462575,7082.641375982782
4654.765776326466,10693.63511437296,10916.650933014844,7023.755796938011,4809.585727922517,10935.39066605452,10841.456565623548,7092.204405000522
4825.237186887229,10748.128709131737,10933.911073985631,7074.108562263866,4836.263542363301,10942.116031026157,10826.984702968652,7089.3613075168205
4647.644063093979,10978.92456632818,10812.886854372158,6945.710276756094,4833.23358292405,10941.886502610942,10832.905611406944,7099.597280464775
4682.761510632243,10754.216313589035,10593.341242813296,6968.018970200144,4810.714375151347,10940.65938307172,10845.147026789127,7071.161073401699
4849.529410688106,10631.4323243286,10741.723992785317,6797.124627271776,4810.281331500194,10934.533512142336,10851.314830632757,7088.902629688553
4741.161698655089,10725.184997916363,10786.653206485993,7088.207390869648,4803.918030376419,10947.933162999887,10849.628828192072,7092.430332886029
4756.848180853797,10621.318425587022,10863.314923481299,7047.1201877592275,4804.550403654637,10939.983950158867,10847.018895882811,7079.459399091934
4712.242368730904,10716.231382923072,10786.74717685584,6945.27914270336,4826.039271645786,10932.048240557915,10849.81186286248,7093.861234404697
4720.263734335999,10865.603503635803,10698.643486086703,6735.89879419767,4812.367214439699,10950.107447154609,10843.866394527224,7090.7998549697395
4655.757275173167,10738.242672874516,10829.707001829596,6849.8865899728635,4829.662418832702,10941.075091133232,10855.209414908977,7090.967635764714
4762.008486606281,10883.1644615182,10841.121750276443,7109.33802364362,4824.083552493035,10940.337848399902,10852.597684878203,7093.907529534371
4676.998414135344,10795.834301554478,10912.413988257533,7130.002259456604,4827.611621906067,10947.875026593383,10843.074607586022,7129.782458604571
4677.814306397016,10828.468290909253,10912.332515153388,6964.670434790969,4804.856761101453,10933.796394267081,10831.14805230619,7088.779101973596
4674.3610089240265,10937.632937412489,10684.994048626015,6915.179641123892,4815.221403022178,10932.18497319441,10858.110391786802,7110.751582520176
4646.028460590826,10699.005568930603,10918.559585596193,7048.680714616973,4803.610038612562,10943.403036810942,10863.207284259573,7084.86871806573
4601.89798891483,10850.56423428527,10974.233844922677,6938.968748102076,4808.996483521448,10953.07984677376,10862.473190605473,7099.977293533492
4537.021205586527,10847.615143309324,10887.291741509138,6957.780736325509,4832.203631367146,10945.941878278822,10856.845335945829,7093.737187260072
4913.221630734872,10608.266065375996,10777.810468268486,7147.567232932275,4826.288946673948,10952.527297828603,10880.03013062107,7094.784304980541
4784.763787323957,10879.679188637729,10901.029403674927,6806.047347366421,4824.846107874904,10968.246833686191,10839.131722443932,7113.832023007636
